Rk;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
2;Los Angeles Lakers*;82;2409;482;885;.545;11;36;.305;471;849;.555;208;272;.763;130;311;441;314;85;59;187;235;1182;1985
3;Detroit Pistons*;82;2418;468;975;.480;5;24;.226;463;951;.487;217;276;.788;171;309;480;281;84;48;164;253;1160;1985
4;Portland Trail Blazers*;82;2424;452;899;.503;6;25;.252;446;875;.510;244;325;.751;147;280;427;271;100;63;181;239;1155;1985
5;Kansas City Kings;82;2409;447;887;.504;8;29;.265;439;858;.512;247;316;.779;142;284;426;286;81;37;194;265;1148;1985
6;Boston Celtics*;82;2403;454;893;.508;13;38;.356;440;856;.515;227;281;.806;136;321;457;279;79;50;162;217;1148;1985
7;San Antonio Spurs*;82;2412;451;878;.513;7;25;.272;444;854;.520;239;314;.763;137;301;439;282;92;54;188;266;1148;1985
8;Philadelphia 76ers*;82;2415;420;853;.492;7;27;.263;413;825;.500;282;352;.803;159;288;447;244;100;65;192;240;1129;1985
9;Houston Rockets*;82;2418;457;907;.504;5;23;.220;452;885;.511;193;276;.699;162;292;454;273;83;73;196;248;1112;1985
10;Dallas Mavericks*;82;2421;434;888;.489;19;54;.343;416;834;.498;225;283;.793;134;286;420;262;70;41;144;219;1112;1985
11;Milwaukee Bucks*;82;2415;435;885;.491;11;36;.303;424;849;.499;228;302;.757;153;287;440;264;84;59;169;273;1109;1985
12;Golden State Warriors;82;2421;427;921;.463;14;48;.282;413;873;.473;237;309;.768;162;261;423;215;98;35;178;260;1104;1985
13;New Jersey Nets*;82;2409;445;908;.490;6;27;.232;438;881;.498;199;273;.729;150;284;434;264;94;51;165;245;1095;1985
14;Utah Jazz*;82;2409;424;890;.476;13;37;.336;412;853;.482;229;297;.772;132;311;443;261;87;85;192;239;1090;1985
